coin_id,base,target,market_identifier,converted_volume_usd,trust_score
vechain,VET,USDT,binance,382547029.0,green
vechain,VET,USDT,hitbtc,2590100.0,green
vechain,VET,BTC,bitcoin_com,15996297.0,green
vechain,VET,BTC,hitbtc,15790641.0,green
vechain,VET,USDT,digifinex,15269062.0,green
vechain,VET,USDT,wootrade,6327538.0,green
vechain,VET,USDT,vcc,2962649.0,green
vechain,VET,BTC,binance,66508602.0,green
vechain,VET,USD,binance_us,98925071.0,green
vechain,VET,KRW,upbit,120362015.0,green
vechain,VET,USDT,crypto_com,39807434.0,green
vechain,VET,BUSD,binance,59159567.0,green
vechain,VET,BTC,crypto_com,19891723.0,green
vechain,VET,USDT,kucoin,65154735.0,green
vechain,VET,CRO,crypto_com,408667.0,green
vechain,VET,USDT,lbank,5002119.0,green
vechain,VET,BTC,bitrue,102466865.0,green
vechain,VET,USDC,crypto_com,3544032.0,green
vechain,VET,USDT,binance_us,20144818.0,green
vechain,VET,USDT,bkex,41699132.0,green
vechain,VET,USDT,mxc,2524587.0,green
vechain,VET,KRW,bithumb,13507047.0,green
vechain,VET,ETH,binance,17671209.0,green
vechain,VET,USDT,gate,3473953.0,green
vechain,VET,EUR,binance,15556740.0,green
vechain,VET,USDT,bitrue,158940949.0,green
vechain,VET,USD,bitfinex,3588475.0,green
vechain,VET,BTC,binance_us,2992057.0,green
vechain,VET,BTC,kucoin,3962788.0,green
vechain,VET,BNB,binance,7219192.0,green
vechain,VET,XRP,bitrue,4800654.0,green
vechain,VET,USDT,bitmax,4182381.0,green
vechain,VET,USDT,bitmart,11594817.0,green
vechain,VET,ETH,bitmart,10585960.0,green
vechain,VET,USDT,latoken,10398988.0,green
vechain,VET,TRY,binance,4118022.0,green
vechain,VET,USDT,aax,4073984.0,green
vechain,VET,USDT,bittrex,2834239.0,green
vechain,VET,GBP,binance,4240998.0,green
vechain,VET,ETH,kucoin,2511534.0,green
vechain,VET,USDT,hotbit,767869.0,green
vechain,VET,BTC,bitmax,335013.0,green
vechain,VET,USDT,xt,1354129.0,green
vechain,VET,BTC,bitmart,8103186.0,green
vechain,VET,BTC,bittrex,1753233.0,green
vechain,VET,BTC,bitfinex,2085093.0,green
vechain,VET,BTC,oceanex,5785841.0,green
vechain,VET,USDT,oceanex,4456494.0,green
vechain,VET,USDT,hoo,896443.0,green
vechain,VET,USDT,coinex,1611915.0,green
vethor-token,VTHO,VET,oceanex,2225716.0,green
vechain,VET,ETH,latoken,331151.0,green
vechain,VET,ETH,bitrue,7687257.0,green
vechain,VET,ETH,oceanex,5966374.0,green
binancecoin,BNB,VET,oceanex,4469788.0,green
vechain,VET,KCS,kucoin,220805.0,green
vechain,VET,INR,wazirx,1645073.0,green
vechain,VET,ETH,hotbit,2867479.0,green
vechain,VET,IDR,zipmex,5300.17,green
litecoin,LTC,VET,oceanex,2856395.0,green
decred,DCR,VET,oceanex,3027868.0,green
ethereum-classic,ETC,VET,oceanex,3767903.0,green
vechain,VET,USDT,zipmex,2183.83,green
dogecoin,DOGE,VET,oceanex,2549610.0,green
ripple,XRP,VET,oceanex,3703118.0,green
vechain,VET,BRL,novadax,122061.0,green
vechain,VET,USD,bittrex,301119.0,green
vechain,VET,USDT,novadax,19274.87,green
cardano,ADA,VET,oceanex,1453359.0,green
maker,MKR,VET,oceanex,1355659.0,green
vechain,VET,USDT,bigone,335734.0,green
holotoken,HOT,VET,oceanex,2293726.0,green
vechain,VET,ETH,gate,31311.0,green
0x,ZRX,VET,oceanex,1382063.0,green
stellar,XLM,VET,oceanex,1161525.0,green
basic-attention-token,BAT,VET,oceanex,1079535.0,green
vechain,VET,ETH,bittrex,114429.0,green
vechain,VET,USDT,wazirx,216410.0,green
vechain,VET,BTC,upbit,240454.0,green
tezos,XTZ,VET,oceanex,827459.0,green
chainlink,LINK,VET,oceanex,172107.0,green
dash,DASH,VET,oceanex,713254.0,green
omisego,OMG,VET,oceanex,1005401.0,green
ravencoin,RVN,VET,oceanex,716040.0,green
vechain,VET,USDC,coinex,10156.16,green
zcash,ZEC,VET,oceanex,684250.0,green
cosmos,ATOM,VET,oceanex,119993.0,green
vechain,VET,INR,coindcx,93388.0,green
vechain,VET,INR,bitbns,23301.0,green
vechain,VET,ETH,hitbtc,3526.27,yellow
vechain,VET,USDT,nami_exchange,2486080.0,yellow
vechain,VET,USDT,huobi,58700964.0,yellow
vechain,VET,VNDC,nami_exchange,1273117.0,yellow
vechain,VET,BTC,bigone,133313.0,yellow
vechain,VET,USDT,bione,411944.0,yellow
vechain,VET,BTC,huobi,12144285.0,yellow
bitcoin-cash,BCH,VET,oceanex,2822390.0,yellow
vechain,VET,ETH,dragonex,790882.0,yellow
vechain,VET,HUSD,huobi,551538.0,yellow
oceanex-token,OCE,VET,oceanex,37405.0,yellow
bittorrent-2,BTT,KRW,upbit,241578513.0,green
bittorrent-2,BTT,USDT,binance,130550333.0,green
bittorrent-2,BTT,USDT,huobi,338651946.0,green
bittorrent-2,BTT,USDT,hitbtc,4182054.0,green
bittorrent-2,BTT,USDT,changelly,4173750.0,green
bittorrent-2,BTT,USDT,bitmart,1486362.0,green
bittorrent-2,BTT,USDT,okex,81148108.0,green
bittorrent-2,BTT,USDT,gate,2209343.0,green
bittorrent-2,BTT,BTC,hitbtc,193921.0,green
bittorrent-2,BTT,USDT,digifinex,46438287.0,green
bittorrent-2,0X8595F9DA7B868B1822194FAED312235E43007B49,BUSD,pancakeswap,5330538.0,green
bittorrent-2,BTT,USDT,vcc,1670833.0,green
bittorrent-2,BTT,KRW,bithumb,21200473.0,green
bittorrent-2,BTT,ETH,hitbtc,89049.0,green
bittorrent-2,BTT,TRY,bitexen,42803803.0,green
bittorrent-2,BTT,BTC,mxc,1065238.0,green
bittorrent-2,BTT,USDT,mxc,1939284.0,green
bittorrent-2,BTT,BUSD,binance,13311226.0,green
bittorrent-2,BTT,TRY,binance,18809042.0,green
bittorrent-2,BTT,USDT,cointiger,13421478.0,green
bittorrent-2,BTT,TRY,paribu,26908548.0,green
bittorrent-2,BTT,USDT,kucoin,8584832.0,green
bittorrent-2,BTT,BTC,kucoin,773147.0,green
bittorrent-2,BTT,IDR,indodax,4141122.0,green
bittorrent-2,BTT,EUR,binance,2396760.0,green
bittorrent-2,BTT,ETH,kucoin,852210.0,green
bittorrent-2,BTT,USDT,bitmax,828448.0,green
bittorrent-2,BTT,USDT,bitrue,18991569.0,green
bittorrent-2,BTT,BTC,okex,909821.0,green
bittorrent-2,BTT,USDT,aax,1368227.0,green
bittorrent-2,BTT,USDT,whitebit,133029.0,green
bittorrent-2,BTT,USD,cex,614770.0,green
bittorrent-2,BTT,USDT,hotbit,116918.0,green
bittorrent-2,BTT,BNB,binance,1244195.0,green
bittorrent-2,BTT,USDT,poloniex,548199.0,green
bittorrent-2,BTT,USDT,latoken,4891238.0,green
bittorrent-2,BTT,USDT,bittrex,205190.0,green
bittorrent-2,BTT,KRW,coinone,1896931.0,green
bittorrent-2,BTT,BTC,bitget,93278.0,green
bittorrent-2,BTT,TRX,binance,1993944.0,green
bittorrent-2,BTT,BRL,binance,671484.0,green
bittorrent-2,BTT,USDT,bibox,2997339.0,green
bittorrent-2,BTT,BRL,novadax,346518.0,green
